file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,5
style.css,2,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,14
style.css,3,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,16
style.css,4,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,11
style.css,5,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,19
style.css,6,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,20
style.css,7,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,17
style.css,8,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,9,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,10,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,6
style.css,11,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,32
style.css,12,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,13,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,14,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,5
style.css,15,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,24
style.css,16,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,32
style.css,17,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,18,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,19,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,4
style.css,20,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,21
style.css,21,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,14
style.css,22,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,6
style.css,23,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,11
style.css,24,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,12
style.css,25,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,22
style.css,26,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,18
style.css,27,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,19
style.css,28,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,40
style.css,29,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,74
style.css,30,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,19
style.css,31,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,32,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,33,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,34,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,6
style.css,35,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,17
style.css,36,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,37,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,6
style.css,38,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,17
style.css,39,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,40,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,41,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,5
style.css,42,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,6
style.css,43,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,21
style.css,44,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,14
style.css,45,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,18
style.css,46,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,14
style.css,47,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,48,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,49,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,13
style.css,50,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,44
style.css,51,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,21
style.css,52,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,53,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,54,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,11
style.css,55,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,46
style.css,56,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,70
style.css,57,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,63
style.css,58,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,59,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,60,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,13
style.css,61,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,10
style.css,62,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,13
style.css,63,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,11
style.css,64,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,14
style.css,65,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,10
style.css,66,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,15
style.css,67,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,21
style.css,68,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,13
style.css,69,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,22
style.css,70,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,71,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,72,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,11
style.css,73,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,19
style.css,74,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,3
style.css,75,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,76,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,5
style.css,77,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,13
style.css,78,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,31
style.css,79,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,8
style.css,80,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,81,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,11
style.css,82,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,13
style.css,83,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,30
style.css,84,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,17
style.css,85,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,86,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,11
style.css,87,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,17
style.css,88,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,89,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,90,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,10
style.css,91,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,13
style.css,92,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,59
style.css,93,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,94,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,95,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,18
style.css,96,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,13
style.css,97,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,27
style.css,98,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,16
style.css,99,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,8
style.css,100,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,101,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,13
style.css,102,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,9
style.css,103,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,104,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,105,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,3
style.css,106,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,15
style.css,107,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,0
style.css,108,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,3
style.css,109,css,4068a22f,syw003,2025-02-01,21:36:07,-08:00,2025-02-01T21:36:07-08:00,0,15
